sample_size,power,mcse,method,lower,upper,p_value_power
20,0.464,0.015770351930125086,GLM_Gamma,0.4330906781934331,0.49490932180656694,0.43
20,0.327,0.014834790190629594,GLM_Gaussian,0.29792434550815794,0.3560756544918421,0.253
20,0.255,0.013783141876945184,Log_LR,0.22798553832738164,0.28201446167261834,0.209
20,0.509,0.015808826648426505,LR,0.47801526913124703,0.539984730868753,0.467
20,0.525,0.015791611697353755,OLR,0.4940490098153452,0.5559509901846548,0.525
25,0.543,0.015752809273269323,GLM_Gamma,0.5121250611690635,0.5738749388309365,0.517
25,0.447,0.015722308990730335,GLM_Gaussian,0.4161848406243583,0.47781515937564173,0.395
25,0.318,0.014726710426975875,Log_LR,0.28913617795237684,0.34686382204762317,0.291
25,0.585,0.015581238718407468,LR,0.5544613332774003,0.6155386667225996,0.553
25,0.641,0.01516967369457893,OLR,0.6112679859014006,0.6707320140985994,0.641
30,0.603,0.01547226550961429,GLM_Gamma,0.5726749168419147,0.6333250831580852,0.573
30,0.541,0.015758140753274162,GLM_Gaussian,0.5101146116602698,0.5718853883397302,0.49
30,0.35100000000000003,0.015093011627902499,Log_LR,0.3214182407910669,0.38058175920893317,0.328
30,0.655,0.015032464867745409,LR,0.6255369102603554,0.6844630897396446,0.628
30,0.724,0.014135911714495106,OLR,0.6962941221509518,0.7517058778490482,0.724
35,0.63,0.015267612779999367,GLM_Gamma,0.6000760288212978,0.6599239711787022,0.605
35,0.593,0.015535475531827148,GLM_Gaussian,0.5625510274749155,0.6234489725250845,0.562
35,0.365,0.015224158433227107,Log_LR,0.3351611977759431,0.3948388022240569,0.337
35,0.6980000000000001,0.014518815378673288,LR,0.6695436447596141,0.726456355240386,0.675
35,0.782,0.013056645817360598,OLR,0.7564094444390778,0.8075905555609223,0.782
40,0.682,0.014726710426975875,GLM_Gamma,0.6531361779523769,0.7108638220476232,0.666
40,0.663,0.014947608504372864,GLM_Gaussian,0.6337032256764246,0.6922967743235755,0.632
40,0.395,0.015458816254810716,Log_LR,0.36470127689694865,0.4252987231030514,0.372
40,0.736,0.013939296969359681,LR,0.7086794799702467,0.7633205200297533,0.72
40,0.8310000000000001,0.011850696182081455,OLR,0.8077730622913941,0.854226937708606,0.831
45,0.71,0.014349216006458332,GLM_Gamma,0.681876053420956,0.7381239465790439,0.695
45,0.704,0.014435511767859151,GLM_Gaussian,0.6757069168365919,0.732293083163408,0.677
45,0.44,0.015697133496278867,Log_LR,0.4092341836867761,0.4707658163132239,0.417
45,0.753,0.013637851736985557,LR,0.7262703017690113,0.7797296982309887,0.739
45,0.869,0.010669536072388528,OLR,0.8480880935663675,0.8899119064336325,0.869
50,0.733,0.013989674763910703,GLM_Gamma,0.7055807413073061,0.7604192586926939,0.719
50,0.748,0.013729384545565033,GLM_Gaussian,0.7210909007607917,0.7749090992392083,0.726
50,0.491,0.015808826648426505,Log_LR,0.460015269131247,0.521984730868753,0.471
50,0.782,0.013056645817360598,LR,0.7564094444390778,0.8075905555609223,0.772
50,0.91,0.009049861877399012,OLR,0.8922625966552359,0.9277374033447642,0.91
55,0.769,0.01332812815064441,GLM_Gamma,0.7428773488434025,0.7951226511565975,0.763
55,0.78,0.01309961831505025,GLM_Gaussian,0.7543252198912803,0.8056747801087197,0.769
55,0.538,0.015765658882520576,Log_LR,0.5070998763977157,0.5689001236022844,0.525
55,0.8170000000000001,0.012227469075814502,LR,0.7930346009893264,0.8409653990106737,0.809
55,0.925,0.00832916562447884,OLR,0.9086751353547524,0.9413248646452477,0.925
60,0.792,0.012834952278836098,GLM_Gamma,0.766843955790191,0.817156044209809,0.782
60,0.807,0.012480024038438387,GLM_Gaussian,0.7825396023584666,0.8314603976415335,0.795
60,0.5750000000000001,0.01563249820086348,Log_LR,0.5443608665379205,0.6056391334620796,0.559
60,0.834,0.011766222843376714,LR,0.8109386269929091,0.8570613730070908,0.825
60,0.9470000000000001,0.007084560677981377,OLR,0.9331145162248679,0.9608854837751323,0.947
65,0.803,0.012577400367325513,GLM_Gamma,0.7783487482609012,0.8276512517390989,0.796
65,0.8270000000000001,0.01196122903384096,GLM_Gaussian,0.8035564218828369,0.8504435781171632,0.818
65,0.581,0.015602531845825537,Log_LR,0.5504195995145427,0.6115804004854573,0.566
65,0.854,0.011166198995181844,LR,0.8321146521252363,0.8758853478747637,0.845
65,0.9590000000000001,0.006270486424512849,OLR,0.9467100724424076,0.9712899275575926,0.959
70,0.8210000000000001,0.012122664723566347,GLM_Gamma,0.7972400137451559,0.8447599862548443,0.812
70,0.839,0.011622349160131098,GLM_Gaussian,0.8162206142303937,0.8617793857696062,0.832
70,0.598,0.015504708962118573,Log_LR,0.5676113288434722,0.6283886711565277,0.585
70,0.858,0.011037934589405756,LR,0.8363660457410558,0.8796339542589442,0.853
70,0.968,0.005565608681896351,OLR,0.9570916074314397,0.9789083925685602,0.968
75,0.881,0.010239091756596383,GLM_Gamma,0.8609317489226701,0.9010682510773299,0.873
75,0.894,0.009734680272099335,GLM_Gaussian,0.8749203772656727,0.9130796227343273,0.886
75,0.637,0.015206281596761254,Log_LR,0.6071962357315738,0.6668037642684262,0.632
75,0.91,0.009049861877399012,LR,0.8922625966552359,0.9277374033447642,0.905
75,0.984,0.00396787096564392,OLR,0.9762231158120357,0.9917768841879643,0.984
80,0.872,0.010564847372300274,GLM_Gamma,0.8512932796481288,0.8927067203518712,0.866
80,0.884,0.010126401137620413,GLM_Gaussian,0.8641526184772585,0.9038473815227415,0.878
80,0.65,0.015083103128998356,Log_LR,0.6204376610920599,0.6795623389079402,0.635
80,0.905,0.009272270487857868,LR,0.886826683788885,0.9231733162111151,0.898
80,0.98,0.0044271887242357325,OLR,0.9713228695477362,0.9886771304522638,0.98
85,0.892,0.009815090422405694,GLM_Gamma,0.8727627762670809,0.9112372237329192,0.886
85,0.907,0.009184280047995052,GLM_Gaussian,0.8889991418819999,0.9250008581180001,0.901
85,0.683,0.014714312760030622,Log_LR,0.6541604769330819,0.7118395230669182,0.674
85,0.914,0.008865889690267975,LR,0.8966231755161699,0.9313768244838302,0.912
85,0.992,0.0028170906978654425,OLR,0.9864786036910009,0.997521396308999,0.992
90,0.9,0.009486832980505136,GLM_Gamma,0.8814061490308632,0.9185938509691368,0.894
90,0.911,0.009004387819280108,GLM_Gaussian,0.8933517241713799,0.9286482758286202,0.906
90,0.711,0.0143345387090063,Log_LR,0.6829048203953524,0.7390951796046475,0.698
90,0.93,0.008068457101577721,LR,0.9141861146701012,0.9458138853298989,0.929
90,0.992,0.0028170906978654425,OLR,0.9864786036910009,0.997521396308999,0.992
95,0.9,0.009486832980505136,GLM_Gamma,0.8814061490308632,0.9185938509691368,0.896
95,0.91,0.009049861877399012,GLM_Gaussian,0.8922625966552359,0.9277374033447642,0.905
95,0.734,0.013972973913952606,Log_LR,0.7066134743717352,0.7613865256282648,0.727
95,0.923,0.008430361795320529,LR,0.9064767945045293,0.9395232054954707,0.918
95,0.996,0.0019959959919799443,OLR,0.992087919742433,0.999912080257567,0.996
100,0.921,0.008529888627643386,GLM_Gamma,0.9042817254976813,0.9377182745023188,0.918
100,0.934,0.007851369307324675,GLM_Gaussian,0.9186115989283204,0.9493884010716797,0.929
100,0.742,0.013836039895866157,Log_LR,0.714881860115443,0.769118139884557,0.737
100,0.9430000000000001,0.0073315073484243294,LR,0.9286305096446976,0.9573694903553025,0.938
100,0.993,0.002636474919281427,OLR,0.9878326041120653,0.9981673958879347,0.993
105,0.9550000000000001,0.006555532015023642,GLM_Gamma,0.9421513933510545,0.9678486066489457,0.95
105,0.965,0.005811626278418119,GLM_Gaussian,0.9536094218026939,0.976390578197306,0.965
105,0.783,0.013034991369387246,Log_LR,0.7574518863772106,0.8085481136227894,0.774
105,0.975,0.004937104414532877,LR,0.9653234531596019,0.9846765468403981,0.971
105,0.998,0.0014127986409959495,OLR,0.9952309655462408,1.0007690344537592,0.998
110,0.937,0.007683163410991592,GLM_Gamma,0.9219412764271206,0.9520587235728795,0.933
110,0.9460000000000001,0.007147307185227171,GLM_Gaussian,0.9319915353305105,0.9600084646694896,0.945
110,0.801,0.012625331678811452,Log_LR,0.776254804616657,0.8257451953833431,0.797
110,0.9540000000000001,0.006624499981130646,LR,0.9410162186213977,0.9669837813786024,0.951
110,0.997,0.0017294507798720387,OLR,0.9936103387584161,1.000389661241584,0.997
115,0.9410000000000001,0.00745110730026081,GLM_Gamma,0.9263960980465454,0.9556039019534547,0.939
115,0.962,0.006046155803483734,GLM_Gaussian,0.950149752380254,0.9738502476197459,0.956
115,0.804,0.01255324659201754,Log_LR,0.7793960887905955,0.8286039112094046,0.795
115,0.968,0.005565608681896351,LR,0.9570916074314397,0.9789083925685602,0.968
115,1,0,OLR,1,1,1
120,0.961,0.006122009474020767,GLM_Gamma,0.9490010819179062,0.9729989180820937,0.96
120,0.972,0.005216895628628201,GLM_Gaussian,0.9617750724567843,0.9822249275432157,0.97
120,0.8310000000000001,0.011850696182081455,Log_LR,0.8077730622913941,0.854226937708606,0.825
120,0.976,0.004839834707921338,LR,0.9665140982813473,0.9854859017186527,0.976
120,0.999,9.994998749374613e-4,OLR,0.9970410162425702,1.0009589837574298,0.999
125,0.966,0.005730968504537434,GLM_Gamma,0.9547675081345732,0.9772324918654267,0.966
125,0.972,0.005216895628628201,GLM_Gaussian,0.9617750724567843,0.9822249275432157,0.972
125,0.845,0.011444430960078356,Log_LR,0.8225693274946912,0.8674306725053087,0.841
125,0.978,0.004638534251247911,LR,0.9689086399264986,0.9870913600735014,0.976
125,1,0,OLR,1,1,1
130,0.961,0.006122009474020767,GLM_Gamma,0.9490010819179062,0.9729989180820937,0.958
130,0.971,0.005306505441436956,GLM_Gaussian,0.9605994404510177,0.9814005595489822,0.971
130,0.868,0.010704017937204702,Log_LR,0.847020510353208,0.888979489646792,0.859
130,0.976,0.004839834707921338,LR,0.9665140982813473,0.9854859017186527,0.976
130,1,0,OLR,1,1,1
135,0.977,0.004740358636221528,GLM_Gamma,0.9677090677992024,0.9862909322007976,0.975
135,0.985,0.0038438262187565153,GLM_Gaussian,0.9774662390484065,0.9925337609515935,0.985
135,0.874,0.010493998284733994,Log_LR,0.8534321413080963,0.8945678586919037,0.87
135,0.987,0.0035820385257559714,LR,0.9799793334982834,0.9940206665017166,0.986
135,1,0,OLR,1,1,1
140,0.971,0.005306505441436956,GLM_Gamma,0.9605994404510177,0.9814005595489822,0.968
140,0.976,0.004839834707921338,GLM_Gaussian,0.9665140982813473,0.9854859017186527,0.976
140,0.866,0.010772372069326236,Log_LR,0.8448865387160553,0.8871134612839446,0.862
140,0.979,0.00453420334788814,LR,0.9701131247395582,0.9878868752604417,0.977
140,1,0,OLR,1,1,1
145,0.975,0.004937104414532877,GLM_Gamma,0.9653234531596019,0.9846765468403981,0.975
145,0.983,0.004087909000944127,GLM_Gaussian,0.9749878455860724,0.9910121544139275,0.98
145,0.896,0.009653186002558947,Log_LR,0.8770801030989183,0.9149198969010818,0.889
145,0.988,0.003443254274665176,LR,0.9812513456320426,0.9947486543679573,0.988
145,1,0,OLR,1,1,1
150,0.987,0.0035820385257559714,GLM_Gamma,0.9799793334982834,0.9940206665017166,0.987
150,0.99,0.003146426544510456,GLM_Gaussian,0.9838331172927587,0.9961668827072413,0.989
150,0.879,0.010313049985334114,Log_LR,0.8587867934579838,0.8992132065420162,0.878
150,0.991,0.0029864694875387575,LR,0.9851466273634962,0.9968533726365038,0.991
150,1,0,OLR,1,1,1
155,0.983,0.004087909000944127,GLM_Gamma,0.9749878455860724,0.9910121544139275,0.983
155,0.987,0.0035820385257559714,GLM_Gaussian,0.9799793334982834,0.9940206665017166,0.986
155,0.918,0.008676174272108645,Log_LR,0.9009950109030741,0.935004989096926,0.916
155,0.989,0.0032983329122452166,LR,0.9825353862829762,0.9954646137170238,0.989
155,1,0,OLR,1,1,1
160,0.983,0.004087909000944127,GLM_Gamma,0.9749878455860724,0.9910121544139275,0.983
160,0.988,0.003443254274665176,GLM_Gaussian,0.9812513456320426,0.9947486543679573,0.988
160,0.917,0.008724161850859943,Log_LR,0.8999009569770162,0.9340990430229839,0.917
160,0.989,0.0032983329122452166,LR,0.9825353862829762,0.9954646137170238,0.989
160,1,0,OLR,1,1,1
